 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1242,73.041,22.616,70,30,182,375.581,26.171,375.931,26.171,180.409,354,1,43,53,54.894,28.808,64.316,0.480,56.462,90717,75,0.981,3.650,100,90717,360,53,67.068,36.292,1.906,0.525,0.813
2,867,92.594,43.119,112,30,222,107.889,32.785,107.705,33.398,174.652,81,13,51,37,43.419,25.424,16.815,0.357,51.352,80279,98,0.489,-0.121,100,80279,81,36,6.710,33.000,1.708,0.586,0.709
3,1299,83.497,39.354,75,30,222,492.969,29.533,489.779,28.468,165.924,463,14,57,34,59.266,27.907,166.272,0.593,58.523,108462,75,1.341,1.775,100,108462,464,20,160.017,31.729,2.124,0.471,0.882
4,831,60.852,15.157,67,30,92,219.501,33.163,218.905,33.111,131.539,198,16,44,34,49.943,21.185,144.652,0.604,49.092,50568,64,-0.276,-0.845,100,50568,200,19,146.634,23.870,2.357,0.424,0.867
5,520,98.863,39.423,120,30,180,28.121,33.796,28.089,33.821,87.740,16,19,24,30,32.249,20.531,118.266,0.849,33.541,51409,106,-0.255,-1.165,100,51409,21,19,116.565,21.466,1.571,0.637,0.948
6,686,75.710,27.287,70,30,160,157.101,39.569,156.045,40.074,112.468,138,24,37,27,36.234,24.105,176.111,0.682,39.395,51937,73,0.605,0.114,100,51937,139,34,156.038,27.000,1.503,0.665,0.891
7,1258,83.596,32.128,75,30,177,310.597,45.345,311.878,46.520,170.995,286,26,45,41,44.248,36.199,170.248,0.541,48.600,105164,78,0.634,0.027,100,105164,288,33,143.366,40.827,1.222,0.818,0.862
8,486,109.045,44.118,106,30,210,579.379,41.702,580.366,41.559,83.841,564,32,31,20,30.987,19.970,8.613,0.869,31.575,52996,109,0.015,-0.845,100,52996,564,45,10.954,20.000,1.552,0.644,0.954
9,645,78.571,25.661,81,30,137,645.309,48.119,644.453,47.860,116.125,624,37,40,23,40.587,20.234,173.014,0.601,40.608,50678,78,-0.007,-0.841,100,50678,624,43,170.074,23.000,2.006,0.499,0.857
10,1391,99.579,48.784,30,30,253,80.119,80.015,81.530,82.705,203.723,56,46,50,63,70.328,25.183,119.830,0.421,71.847,138515,92,0.833,0.422,100,138515,63,47,124.796,31.894,2.793,0.358,0.752
11,1345,99.065,41.112,98,30,222,478.335,85.581,478.274,85.503,199.966,457,48,37,67,66.029,25.936,78.453,0.423,67.897,133243,101,0.288,-0.360,100,133243,474,115,80.676,34.926,2.546,0.393,0.738
12,1535,86.186,35.466,64,28,185,133.623,84.439,133.691,82.574,240.149,108,52,43,66,57.985,33.706,97.679,0.334,66.611,132295,81,0.279,-0.913,100,132295,135,52,97.765,42.407,1.720,0.581,0.744
13,511,100.429,45.040,33,28,191,384.539,65.439,383.997,65.625,106.225,365,54,38,22,40.487,16.070,14.707,0.569,39.560,51319,104,0.016,-1.205,100,51319,365,69,16.144,18.006,2.519,0.397,0.845
14,751,104.081,48.977,30,30,230,27.362,77.232,26.983,77.886,136.267,8,56,38,42,48.744,19.617,50.590,0.508,47.424,78165,104,0.211,-0.923,100,78165,11,95,47.564,23.600,2.485,0.402,0.794
15,1188,90.038,33.929,87,30,191,224.881,69.356,224.194,69.500,169.581,195,56,62,27,63.501,23.820,179.485,0.519,62.968,106965,87,0.410,-0.114,100,106965,195,63,169.939,26.827,2.666,0.375,0.857
16,489,104.072,43.885,36,30,191,652.874,84.334,653.271,84.764,111.296,638,70,31,28,35.096,17.740,146.385,0.496,35.468,50891,109,-0.164,-1.174,100,50891,641,71,139.574,20.549,1.978,0.505,0.816
17,1174,80.794,33.617,30,30,180,537.725,91.844,536.945,91.419,213.563,504,73,62,35,55.628,26.871,178.568,0.323,62.968,94852,81,0.297,-0.730,100,94852,504,87,169.939,34.289,2.070,0.483,0.751
18,602,86.271,31.773,104,30,165,309.166,89.748,309.154,89.345,114.811,292,74,35,31,38.184,20.073,138.757,0.574,39.115,51935,90,-0.050,-0.841,100,51935,294,79,147.529,23.292,1.902,0.526,0.824
19,664,78.976,27.247,87,30,143,194.372,94.971,194.876,94.943,112.125,178,79,33,33,40.105,21.081,137.345,0.664,39.825,52440,81,-0.102,-0.843,100,52440,179,84,141.116,24.519,1.902,0.526,0.885
20,423,69.461,25.216,95,28,120,427.285,100.852,428.382,102.053,97.640,414,83,25,33,33.296,16.176,122.870,0.558,36.056,29382,78,-0.234,-1.389,100,29382,416,84,123.690,19.137,2.058,0.486,0.835
21,2925,86.991,35.837,70,28,233,277.348,131.835,276.014,129.222,402.517,245,92,63,78,71.826,51.851,104.868,0.227,81.939,254449,84,0.733,0.889,100,254449,269,93,113.749,62.130,1.385,0.722,0.726
22,1480,70.023,17.657,75,22,118,674.531,121.284,674.781,121.040,181.924,648,98,51,43,53.770,35.046,21.237,0.562,55.606,103634,73,-0.402,-0.360,100,103634,650,136,37.694,40.749,1.534,0.652,0.866
23,574,90.045,37.726,30,30,168,56.760,113.470,57.055,113.982,102.569,41,99,30,30,34.880,20.953,123.683,0.686,35.511,51686,92,0.039,-1.197,100,51686,41,106,147.653,24.145,1.665,0.601,0.880
24,367,70.125,18.041,81,30,101,409.642,113.653,409.655,113.655,72.669,399,102,21,23,23.135,20.198,102.592,0.873,24.187,25736,75,-0.743,-0.448,100,25736,405,102,119.745,20.616,1.145,0.873,0.936
25,406,130.773,54.191,151,30,233,607.185,112.219,608.039,112.168,74.184,595,102,24,21,24.734,20.900,161.802,0.927,26.077,53094,140,-0.311,-0.849,100,53094,596,105,147.529,21.000,1.183,0.845,0.952
26,618,126.994,76.721,255,28,255,106.783,126.500,105.590,128.594,131.095,89,108,35,35,42.676,18.438,46.842,0.452,42.012,78482,118,0.432,-1.150,100,78482,92,142,51.766,21.701,2.315,0.432,0.795
27,1473,95.794,43.765,98,30,255,502.975,134.829,502.743,134.844,211.865,471,110,58,47,53.399,35.122,43.366,0.412,62.769,141105,92,1.039,1.773,100,141105,471,144,22.479,42.647,1.520,0.658,0.768
28,669,75.106,21.258,84,30,126,797.504,134.403,797.639,134.672,120.225,781,120,35,27,37.758,22.559,167.007,0.582,37.216,50246,78,-0.390,-0.596,100,50246,782,124,149.300,24.470,1.674,0.597,0.873
29,701,75.155,28.972,70,30,160,233.999,141.051,232.934,139.923,127.640,216,121,36,40,49.346,18.088,128.308,0.541,48.166,52684,73,0.624,0.029,100,52684,219,122,131.634,20.886,2.728,0.367,0.815
30,1402,73.907,26.376,67,30,174,361.561,156.815,360.532,154.127,185.966,340,126,41,60,65.418,27.287,109.265,0.509,62.968,103617,70,1.074,1.424,100,103617,350,127,110.450,31.098,2.397,0.417,0.826
31,952,87.460,34.538,30,30,180,437.480,155.304,437.772,155.462,167.581,416,133,42,44,42.272,28.675,139.195,0.426,49.244,83262,87,0.129,-0.782,100,83262,430,134,119.168,34.391,1.474,0.678,0.778
32,441,122.803,56.840,180,30,219,125.613,145.237,125.626,145.607,83.154,111,135,29,20,29.397,19.101,12.641,0.801,30.364,54156,132,-0.223,-1.377,100,54156,111,150,17.241,19.892,1.539,0.650,0.937
33,350,72.414,20.299,75,30,112,740.157,146.311,740.128,146.455,75.497,728,137,25,20,26.303,16.943,20.176,0.772,26.926,25345,75,-0.498,-0.593,100,25345,728,153,21.801,18.025,1.552,0.644,0.901
34,1062,74.266,24.048,90,30,135,202.740,162.251,203.192,162.071,172.066,181,141,39,49,49.508,27.312,119.379,0.451,54.083,78870,78,-0.176,-0.861,100,78870,186,143,123.690,34.749,1.813,0.552,0.769
35,585,100.602,40.622,135,28,196,622.302,156.683,622.423,156.336,112.468,607,141,31,31,31.695,23.500,45.549,0.581,31.780,58852,106,-0.181,-1.004,100,58852,607,162,12.724,25.456,1.349,0.741,0.856
36,386,65.528,16.198,75,30,106,407.951,164.821,407.757,164.748,75.740,396,152,24,25,26.397,18.618,128.960,0.846,26.926,25294,70,-0.447,-0.492,100,25294,402,153,121.329,19.329,1.418,0.705,0.921
37,595,89.432,32.519,120,30,146,81.766,167.034,81.104,166.946,112.125,63,156,37,23,39.326,19.264,171.067,0.595,37.855,53212,98,-0.391,-1.212,100,53212,63,162,167.800,21.424,2.041,0.490,0.846
38,365,119.800,56.172,160,30,236,567.999,166.949,568.488,167.020,75.497,555,156,25,23,28.738,16.172,141.790,0.805,29.411,43727,132,-0.143,-1.261,100,43727,556,158,144.689,17.321,1.777,0.563,0.923
39,588,88.541,28.416,92,30,163,533.587,178.429,533.657,178.578,98.225,519,163,28,33,34.726,21.559,119.657,0.766,34.986,52062,92,-0.185,-0.323,100,52062,520,166,120.964,22.059,1.611,0.621,0.912
40,814,64.101,14.611,70,30,101,692.319,183.568,692.032,183.195,126.368,676,164,33,39,42.620,24.318,120.247,0.641,41.677,52178,67,-0.534,-0.330,100,52178,682,165,120.256,26.213,1.753,0.571,0.875
41,906,109.392,56.257,106,30,255,105.428,189.757,106.009,189.684,121.196,86,170,37,39,43.847,26.308,50.823,0.775,44.045,99109,98,0.771,-0.215,100,99109,91,207,50.528,27.899,1.667,0.600,0.922
42,2343,90.723,36.072,87,28,253,506.779,217.047,506.456,217.415,319.990,480,171,56,82,80.764,36.937,113.886,0.288,91.586,212565,90,0.568,0.854,100,212565,482,172,121.608,49.363,2.186,0.457,0.747
43,706,71.803,20.771,78,30,137,269.072,191.588,269.283,190.781,122.953,255,172,30,40,41.069,21.888,69.073,0.587,40.804,50693,73,-0.064,-0.207,100,50693,266,212,72.897,24.891,1.876,0.533,0.832
44,407,125.921,74.620,255,30,255,39.810,192.154,40.229,191.531,78.083,28,180,23,26,27.482,18.857,118.193,0.839,28.302,51250,106,0.426,-1.199,100,51250,30,181,122.005,19.230,1.457,0.686,0.926
45,544,93.119,35.536,109,30,182,444.029,202.147,443.901,202.342,101.640,430,185,26,36,39.248,17.648,116.867,0.662,39.395,50657,98,-0.019,-0.773,100,50657,435,185,113.962,19.230,2.224,0.450,0.877
46,603,83.426,25.787,98,30,151,639.246,201.158,638.740,201.284,91.841,626,187,26,29,29.996,25.596,101.395,0.898,31.385,50306,87,-0.295,-0.624,100,50306,633,187,112.479,25.572,1.172,0.853,0.948
47,801,103.699,41.473,135,30,180,134.272,211.703,134.818,211.612,118.225,121,194,30,39,39.611,25.747,73.610,0.720,39.825,83063,112,-0.312,-1.166,100,83063,125,231,61.504,29.263,1.538,0.650,0.886
48,990,79.802,25.446,81,30,163,190.086,220.562,190.303,219.309,136.267,175,197,31,45,45.379,27.778,93.751,0.670,46.573,79004,81,0.185,0.007,100,79004,182,197,104.931,30.975,1.634,0.612,0.876
49,1023,77.073,23.390,84,30,149,584.225,212.176,584.398,211.899,145.439,557,197,51,30,49.753,26.180,16.728,0.608,53.451,78846,78,-0.024,-0.211,100,78846,557,223,17.418,29.051,1.900,0.526,0.877
50,837,127.634,68.756,30,30,250,63.842,218.582,64.747,218.286,109.882,47,201,32,36,36.831,28.935,122.298,0.871,38.910,106830,118,0.106,-1.491,100,106830,55,202,115.907,29.698,1.273,0.786,0.950
51,412,92.221,30.772,118,30,146,795.066,211.362,795.030,211.283,77.598,781,202,28,19,28.693,18.283,176.065,0.860,28.636,37995,98,-0.477,-0.921,100,37995,781,207,167.905,18.385,1.569,0.637,0.938
52,789,66.086,17.106,78,30,106,720.406,227.870,720.883,227.388,117.539,702,213,39,31,40.712,24.676,22.076,0.718,40.853,52142,67,-0.318,-0.709,100,52142,702,235,21.541,26.769,1.650,0.606,0.900
53,539,95.744,39.112,106,30,188,766.860,226.185,767.171,226.175,110.953,748,216,38,20,39.711,17.282,178.621,0.550,38.639,51606,101,-0.049,-0.919,100,51606,748,231,10.437,20.000,2.298,0.435,0.817
54,464,107.362,38.359,126,30,177,253.056,229.884,253.529,229.802,81.841,239,218,27,23,28.217,20.937,21.749,0.871,28.844,49816,115,-0.545,-0.762,100,49816,240,237,33.690,21.769,1.348,0.742,0.937
55,1278,118.996,55.090,30,30,239,34.167,244.110,35.487,245.019,149.823,13,219,41,50,52.887,30.768,116.271,0.715,53.235,152077,118,0.089,-0.945,100,152077,25,220,118.009,32.868,1.719,0.582,0.920
56,680,116.597,60.324,255,30,255,658.876,241.484,659.574,241.803,115.539,641,226,35,29,33.100,26.157,13.858,0.640,35.511,79286,112,0.455,-0.528,100,79286,642,250,32.347,28.564,1.265,0.790,0.859
57,561,105.242,66.305,59,30,255,596.842,238.393,598.130,239.140,98.083,578,228,38,21,38.540,18.534,3.405,0.733,38.471,59041,75,0.943,-0.450,100,59041,578,241,8.973,20.498,2.079,0.481,0.911
58,2222,78.649,26.944,84,28,174,170.284,256.033,170.361,256.743,338.090,125,233,96,51,84.362,33.536,175.199,0.244,96.333,174757,81,0.415,0.514,100,174757,125,253,175.236,48.228,2.516,0.398,0.671
59,666,78.514,22.359,104,30,120,434.411,248.652,434.689,249.410,99.054,419,233,31,31,34.840,24.339,39.850,0.853,35.228,52290,81,-0.433,-0.803,100,52290,420,259,34.592,25.023,1.431,0.699,0.937
60,389,61.771,16.713,67,30,118,306.734,245.531,306.615,245.107,74.669,296,234,22,24,24.112,20.541,58.787,0.877,25.000,24029,61,0.188,-0.299,100,24029,299,256,53.130,21.466,1.174,0.852,0.935
61,601,84.512,31.728,106,30,163,106.121,250.888,106.614,250.757,94.811,90,237,31,29,33.222,23.034,141.319,0.840,33.302,50792,90,-0.041,-0.849,100,50792,92,242,138.652,23.612,1.442,0.693,0.925
62,653,76.591,22.619,78,30,163,814.926,258.339,815.208,258.435,121.539,797,243,35,31,36.712,22.647,147.752,0.556,36.715,50014,78,0.022,0.402,100,50014,799,250,150.642,25.222,1.621,0.617,0.843
63,1432,98.853,51.670,92,30,255,568.966,267.874,569.302,270.097,214.208,537,246,63,45,52.703,34.595,13.099,0.392,63.388,141558,90,1.067,0.851,100,141558,537,266,6.340,42.343,1.523,0.656,0.755
64,589,86.754,25.060,92,30,140,748.682,258.288,749.020,258.554,96.326,731,247,35,22,35.042,21.401,177.324,0.798,35.511,51098,92,-0.752,-0.369,100,51098,731,255,170.272,22.000,1.637,0.611,0.942
65,3761,93.796,54.971,75,14,255,74.800,304.600,74.011,310.574,320.090,42,250,67,96,86.409,55.418,89.306,0.461,97.494,352767,78,1.207,1.079,100,352767,72,250,100.042,61.383,1.559,0.641,0.810
66,1196,87.431,37.332,78,30,230,485.809,270.787,485.552,270.895,151.924,462,251,48,43,54.499,27.942,37.708,0.651,53.263,104568,81,1.238,1.460,100,104568,470,294,50.332,30.406,1.950,0.513,0.883
67,979,108.424,48.113,101,30,255,625.757,278.060,626.747,279.038,121.054,606,260,39,35,40.002,31.161,31.785,0.840,42.190,106147,101,0.679,0.055,100,106147,607,289,31.430,33.900,1.284,0.779,0.926
68,1936,97.495,39.259,87,30,236,380.759,281.732,378.504,281.198,252.007,341,261,78,46,66.517,37.058,7.401,0.383,78.638,188751,92,0.577,0.346,100,188751,341,284,7.306,45.112,1.795,0.557,0.805
69,745,103.584,42.871,112,30,216,758.597,288.339,757.926,288.536,112.953,742,275,36,31,34.918,27.166,20.883,0.734,36.878,77170,101,0.361,-0.429,100,77170,750,304,49.399,30.162,1.285,0.778,0.897
70,382,106.047,37.881,123,30,171,242.846,302.097,242.669,301.830,73.841,232,290,22,24,27.396,17.753,127.303,0.880,28.601,40510,118,-0.651,-0.749,100,40510,234,291,126.469,18.385,1.543,0.648,0.944
71,453,116.371,46.068,132,30,210,191.849,304.317,191.824,304.524,82.083,180,292,23,25,26.656,21.638,119.280,0.845,28.018,52716,126,-0.297,-0.850,100,52716,184,293,124.824,22.136,1.232,0.812,0.944
72,554,100.617,61.713,255,30,255,600.612,306.971,600.698,308.424,110.125,589,292,26,32,32.999,21.376,69.928,0.574,34.482,55742,87,1.213,0.695,100,55742,591,323,60.461,25.516,1.544,0.648,0.839
73,528,101.415,37.957,106,30,188,655.072,305.583,654.691,305.627,90.669,637,296,35,20,33.943,19.806,175.941,0.807,35.057,53547,106,-0.176,-0.689,100,53547,637,307,3.270,20.000,1.714,0.583,0.943
74,419,127.165,51.283,146,30,222,342.658,309.576,342.908,309.497,76.770,329,300,27,19,27.789,19.198,8.403,0.893,27.731,53282,140,-0.398,-0.960,100,53282,330,316,25.641,19.000,1.448,0.691,0.949
75,466,106.524,45.542,106,30,210,534.163,311.030,533.675,311.210,100.326,517,301,40,20,38.504,15.409,2.816,0.582,40.311,49640,106,0.109,-0.762,100,49640,517,316,7.125,18.775,2.499,0.400,0.861
76,508,99.781,44.168,39,30,196,724.579,316.669,724.280,316.510,109.882,709,303,31,27,34.462,18.769,27.726,0.529,34.482,50689,104,-0.006,-1.215,100,50689,709,326,29.539,21.706,1.836,0.545,0.840
77,1848,78.759,29.162,81,28,188,460.204,335.768,460.778,335.537,268.735,423,306,74,58,73.865,31.855,146.430,0.322,79.605,145547,78,0.733,0.923,100,145547,425,320,153.113,41.660,2.319,0.431,0.719
78,498,106.414,36.123,118,30,188,233.209,327.661,233.041,327.799,82.326,220,315,27,25,27.061,23.431,27.207,0.923,27.893,52994,115,-0.565,-0.478,100,52994,220,332,14.534,24.042,1.155,0.866,0.951
79,1153,66.483,23.667,33,28,149,776.730,331.284,775.983,331.214,157.681,749,316,53,35,55.728,26.343,160.682,0.583,55.154,76655,67,0.296,-0.768,100,76655,750,321,157.620,31.077,2.115,0.473,0.836
80,367,71.016,20.187,81,30,112,648.435,330.824,648.408,331.320,74.184,640,317,17,28,27.856,16.775,94.908,0.838,28.160,26063,75,-0.461,-0.735,100,26063,646,317,96.116,16.858,1.661,0.602,0.935
81,495,103.200,32.441,104,30,171,291.082,333.557,291.073,333.514,85.255,276,322,29,23,28.606,22.032,177.079,0.856,29.614,51084,109,-0.554,-0.333,100,51084,276,330,168.311,23.000,1.298,0.770,0.936
82,380,68.266,18.514,67,30,115,668.639,336.508,668.636,336.895,74.326,658,324,21,25,24.218,19.978,69.759,0.864,25.495,25941,70,-0.353,-0.575,100,25941,666,349,78.690,20.572,1.212,0.825,0.936
83,3779,93.345,49.646,30,25,255,587.134,354.972,578.823,353.233,557.169,497,325,163,66,142.493,33.767,165.783,0.153,165.061,352749,84,1.177,1.628,100,352749,497,343,170.937,50.598,4.220,0.237,0.590
84,496,54.423,9.932,56,30,84,355.986,342.433,355.770,342.274,83.255,342,331,28,23,30.073,21.000,148.850,0.899,31.385,26994,56,-0.330,0.004,100,26994,343,334,149.349,22.361,1.432,0.698,0.954
85,839,94.796,43.732,98,30,255,154.047,356.836,153.096,358.374,132.024,138,334,32,47,49.486,21.587,66.742,0.605,48.765,79534,90,1.478,3.145,100,79534,146,381,74.539,23.652,2.292,0.436,0.858
86,591,91.790,25.847,95,30,163,409.977,354.879,410.481,355.249,90.912,398,339,25,31,29.904,25.163,93.388,0.899,31.064,54248,95,-0.566,0.062,100,54248,408,370,86.309,25.000,1.188,0.841,0.948
87,501,106.174,33.726,129,30,163,746.418,361.250,746.788,361.143,86.083,732,348,28,25,29.911,21.326,35.182,0.850,31.401,53193,118,-0.812,-0.389,100,53193,733,369,37.235,22.465,1.403,0.713,0.934
88,760,105.838,45.708,59,30,210,124.737,376.489,124.609,376.211,113.983,112,354,24,42,42.471,22.784,85.133,0.735,42.579,80437,106,0.106,-1.020,100,80437,119,396,80.538,24.000,1.864,0.536,0.922
89,2071,90.967,31.341,87,30,191,262.781,385.112,263.663,383.736,284.635,221,354,78,57,67.230,39.222,33.130,0.321,81.345,188393,90,0.201,-0.099,100,188393,222,403,20.886,51.085,1.714,0.583,0.716
90,686,77.083,22.393,75,30,140,90.385,371.717,89.864,371.347,98.811,76,355,28,33,33.308,26.223,112.312,0.883,34.176,52879,78,-0.087,-0.114,100,52879,84,356,110.556,26.785,1.270,0.787,0.950
91,1477,107.575,50.767,101,28,255,544.241,376.165,544.436,375.991,201.622,516,356,58,44,61.758,30.451,155.417,0.457,62.266,158889,104,0.635,0.193,100,158889,517,363,150.141,36.277,2.028,0.493,0.811
92,1074,85.353,27.458,84,30,160,673.679,395.809,673.865,396.903,139.882,656,371,32,48,50.287,27.193,72.639,0.690,49.930,91669,84,0.074,-0.528,100,91669,659,417,57.265,29.262,1.849,0.541,0.904
93,943,111.366,61.867,30,25,255,59.938,391.913,58.464,391.530,139.196,40,375,38,38,38.963,30.816,139.996,0.612,43.566,105018,104,0.700,-0.331,100,105018,45,376,121.866,34.648,1.264,0.791,0.871
