 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1242,36.277,8.204,36,12,73,375.581,26.171,375.792,26.519,180.409,354,1,43,53,54.894,28.808,64.316,0.480,56.462,45056,36,0.231,0.328,100.000,45056,360,53,67.068,36.292,1.906,0.525,0.813
2,867,58.501,44.882,24,4,190,107.889,32.785,100.402,36.239,174.652,81,13,51,37,43.419,25.424,16.815,0.357,51.352,50720,36,0.979,-0.419,100.000,50720,81,36,6.710,33.000,1.708,0.586,0.709
3,1299,97.165,45.367,146,16,186,492.969,29.533,498.509,31.725,165.924,463,14,57,34,59.266,27.907,166.272,0.593,58.523,126217,105,-0.115,-1.432,100.000,126217,464,20,160.017,31.729,2.124,0.471,0.882
4,831,85.955,26.166,65,36,158,219.501,33.163,218.067,33.511,131.539,198,16,44,34,49.943,21.185,144.652,0.604,49.092,71429,81,0.422,-0.706,100.000,71429,200,19,146.634,23.870,2.357,0.424,0.867
5,520,51.575,10.913,48,24,97,28.121,33.796,28.446,33.607,87.740,16,19,24,30,32.249,20.531,118.266,0.849,33.541,26819,52,0.614,0.914,100.000,26819,21,19,116.565,21.466,1.571,0.637,0.948
6,686,92.662,17.106,97,40,150,157.101,39.569,158.032,39.720,112.468,138,24,37,27,36.234,24.105,176.111,0.682,39.395,63566,93,-0.172,0.124,100.000,63566,139,34,156.038,27.000,1.503,0.665,0.891
7,1258,52.055,9.602,52,24,101,310.597,45.345,310.878,45.614,170.995,286,26,45,41,44.248,36.199,170.248,0.541,48.600,65485,52,0.709,1.477,100.000,65485,288,33,143.366,40.827,1.222,0.818,0.862
8,486,22.683,6.943,20,4,44,579.379,41.702,579.135,41.759,83.841,564,32,31,20,30.987,19.970,8.613,0.869,31.575,11024,24,0.033,0.153,100.000,11024,564,45,10.954,20.000,1.552,0.644,0.954
9,645,25.278,7.333,24,8,52,645.309,48.119,646.423,48.258,116.125,624,37,40,23,40.587,20.234,173.014,0.601,40.608,16304,24,0.288,-0.018,100.000,16304,624,43,170.074,23.000,2.006,0.499,0.857
10,1391,53.510,19.252,40,12,117,80.119,80.015,77.654,75.424,203.723,56,46,50,63,70.328,25.183,119.830,0.421,71.847,74432,48,0.505,-0.623,100.000,74432,63,47,124.796,31.894,2.793,0.358,0.752
11,1345,75.599,21.593,60,24,134,478.335,85.581,477.471,84.558,199.966,457,48,37,67,66.029,25.936,78.453,0.423,67.897,101681,73,0.247,-0.793,100.000,101681,474,115,80.676,34.926,2.546,0.393,0.738
