 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1242,65.356,31.419,30,6,139,375.581,26.171,378.246,22.790,180.409,354,1,43,53,54.894,28.808,64.316,0.480,56.462,81172,71,0.037,-1.406,100.000,81172,360,53,67.068,36.292,1.906,0.525,0.813
2,867,67.125,37.710,64,10,204,107.889,32.785,107.276,35.304,174.652,81,13,51,37,43.419,25.424,16.815,0.357,51.352,58197,61,1.376,2.121,100.000,58197,81,36,6.710,33.000,1.708,0.586,0.709
3,1299,78.750,39.613,34,6,177,492.969,29.533,497.596,31.708,165.924,463,14,57,34,59.266,27.907,166.272,0.593,58.523,102296,75,0.331,-0.970,100.000,102296,464,20,160.017,31.729,2.124,0.471,0.882
4,831,100.214,39.402,119,13,225,219.501,33.163,220.309,34.532,131.539,198,16,44,34,49.943,21.185,144.652,0.604,49.092,83278,102,0.027,-0.508,100.000,83278,200,19,146.634,23.870,2.357,0.424,0.867
5,520,33.248,8.906,34,6,61,28.121,33.796,28.708,34.197,87.740,16,19,24,30,32.249,20.531,118.266,0.849,33.541,17289,34,0.203,0.350,100.000,17289,21,19,116.565,21.466,1.571,0.637,0.948
6,686,78.918,46.451,40,6,180,157.101,39.569,161.492,40.117,112.468,138,24,37,27,36.234,24.105,176.111,0.682,39.395,54138,58,0.415,-1.325,100.000,54138,139,34,156.038,27.000,1.503,0.665,0.891
7,1258,98.837,39.751,136,17,225,310.597,45.345,311.477,45.751,170.995,286,26,45,41,44.248,36.199,170.248,0.541,48.600,124337,98,0.023,-0.759,100.000,124337,288,33,143.366,40.827,1.222,0.818,0.862
8,486,26.105,7.328,27,6,47,579.379,41.702,579.575,42.139,83.841,564,32,31,20,30.987,19.970,8.613,0.869,31.575,12687,27,0.156,-0.175,100.000,12687,564,45,10.954,20.000,1.552,0.644,0.954
9,645,34.826,11.092,34,6,64,645.309,48.119,646.506,48.887,116.125,624,37,40,23,40.587,20.234,173.014,0.601,40.608,22463,34,0.027,-0.439,100.000,22463,624,43,170.074,23.000,2.006,0.499,0.857
10,1391,46.664,17.985,34,10,116,80.119,80.015,80.231,79.479,203.723,56,46,50,63,70.328,25.183,119.830,0.421,71.847,64909,44,0.712,0.132,100.000,64909,63,47,124.796,31.894,2.793,0.358,0.752
11,1345,47.470,13.346,51,13,98,478.335,85.581,478.085,87.730,199.966,457,48,37,67,66.029,25.936,78.453,0.423,67.897,63847,47,0.016,-0.140,100.000,63847,474,115,80.676,34.926,2.546,0.393,0.738
12,1535,54.092,34.624,37,3,191,133.623,84.439,136.552,85.749,240.149,108,52,43,66,57.985,33.706,97.679,0.334,66.611,83031,40,1.416,1.366,100.000,83031,135,52,97.765,42.407,1.720,0.581,0.744
13,511,58.090,29.851,27,10,146,384.539,65.439,384.373,66.980,106.225,365,54,38,22,40.487,16.070,14.707,0.569,39.560,29684,54,0.471,-0.711,100.000,29684,365,69,16.144,18.006,2.519,0.397,0.845
14,751,37.796,20.814,30,3,150,27.362,77.232,26.117,79.946,136.267,8,56,38,42,48.744,19.617,50.590,0.508,47.424,28385,30,1.979,4.130,100.000,28385,11,95,47.564,23.600,2.485,0.402,0.794
15,1188,52.655,22.213,47,6,126,224.881,69.356,223.749,70.521,169.581,195,56,62,27,63.501,23.820,179.485,0.519,62.968,62554,51,0.674,-0.132,100.000,62554,195,63,169.939,26.827,2.666,0.375,0.857
16,489,45.411,15.104,51,13,92,652.874,84.334,653.303,85.323,111.296,638,70,31,28,35.096,17.740,146.385,0.496,35.468,22206,44,0.058,-0.557,100.000,22206,641,71,139.574,20.549,1.978,0.505,0.816
17,1174,51.364,23.211,40,10,157,537.725,91.844,539.960,91.206,213.563,504,73,62,35,55.628,26.871,178.568,0.323,62.968,60301,47,1.731,3.594,100.000,60301,504,87,169.939,34.289,2.070,0.483,0.751
